Year,location,commodity,category,price_per_kg
2025,Chandpur,Rice - Boro - Hybrid - Coarse,Rice,54.05
2025,Chandpur,Rice - Boro - Hybrid - Medium,Rice,61.85
2025,Chandpur,Rice-Boro-Hybrid -Fine,Rice,74.08
2025,Chandpur,Ruhi (Local) - small (1.50-2.00 kg),Fish,335.0
2025,Chandpur,Sonali Chicken,Chicken,269.32
2025,Chapainawabganj,Broiler chicken,Chicken,154.51
2025,Chapainawabganj,Grass carp,Fish,246.22
2025,Chapainawabganj,Katla-Small (1.50-2.00 kg),Fish,298.96500000000003
2025,Chapainawabganj,Local Hen - Medium (700-850 gm),Chicken,435.995
2025,Chapainawabganj,Pangash (big),Fish,194.58499999999998
2025,Chapainawabganj,Rice - Aman - Coarse,Rice,52.17
2025,Chapainawabganj,Rice - Boro - Hybrid - Coarse,Rice,56.870000000000005
2025,Chapainawabganj,Rice - Boro - Hybrid - Medium,Rice,68.98
2025,Chapainawabganj,Rice-Boro-Hybrid -Fine,Rice,76.58
2025,Chapainawabganj,Rice-Boro-Medium,Rice,64.5
2025,Chapainawabganj,Ruhi (Local) - small (1.50-2.00 kg),Fish,319.58500000000004
2025,Chapainawabganj,Silver Carp,Fish,192.22
2025,Chapainawabganj,Sonali Chicken,Chicken,229.375
2025,Chapainawabganj,Telapia/Nilotica,Fish,196.16500000000002
2025,Chattogram,Broiler chicken,Chicken,154.32
2025,Chattogram,Chinigura Rice,Rice,114.55
2025,Chattogram,Hilsha (500-900) gm,Fish,925.0
2025,Chattogram,Katla-Medium (2.50-4.50 kg),Fish,275.0
2025,Chattogram,Katla-Small (1.50-2.00 kg),Fish,317.73
2025,Chattogram,Local Hen - Medium (700-850 gm),Chicken,557.73
2025,Chattogram,Pangash (big),Fish,179.09
2025,Chattogram,Pangash (small),Fish,225.45
2025,Chattogram,Poah,Fish,276.36
2025,Chattogram,Rice - Aman - Coarse,Rice,55.0
2025,Chattogram,Rice - Aman - Medium,Rice,62.36
2025,Chattogram,Rice - Aman-Fine,Rice,78.18
2025,Chattogram,Rice - Boro - Hybrid - Coarse,Rice,54.18
2025,Chattogram,Rice - Boro - Hybrid - Medium,Rice,61.14
2025,Chattogram,Rice-Boro-Hybrid -Fine,Rice,81.45
2025,Chattogram,Ruhi (Imported) medium (2.50-4.50 kg),Fish,345.0
2025,Chattogram,Ruhi (Local) - small (1.50-2.00 kg),Fish,289.09
2025,Chattogram,Rupchanda,Fish,790.91
2025,Chattogram,Sonali Chicken,Chicken,279.2
2025,Chuadanga,Broiler Farm,Chicken,178.78
2025,Chuadanga,Chinigura Rice,Rice,124.83
2025,Chuadanga,Kalojira,Rice,115.28
2025,Chuadanga,Kataribhog,Rice,103.26
2025,Chuadanga,Local,Chicken,549.04
2025,Chuadanga,Rice - Aman - Coarse,Rice,49.0
2025,Chuadanga,Rice - Aush - Coarse,Rice,51.16
2025,Chuadanga,Rice - Boro - Hybrid - Coarse,Rice,54.18
2025,Chuadanga,Rice - Boro - Hybrid - Medium,Rice,61.86
2025,Chuadanga,Rice-Boro-Fine,Rice,81.88
2025,Comilla,Broiler chicken,Chicken,157.83
2025,Comilla,Grass carp,Fish,275.0
2025,Comilla,Katla-Medium (2.50-4.50 kg),Fish,390.0
2025,Comilla,Katla-Small (1.50-2.00 kg),Fish,350.0
2025,Comilla,Local Hen - Medium (700-850 gm),Chicken,600.58
2025,Comilla,Mregal-small,Fish,235.0
2025,Comilla,Pangash (big),Fish,173.38
2025,Comilla,Rice - Aman - Coarse,Rice,51.72
2025,Comilla,Rice - Aman - Medium,Rice,64.42
2025,Comilla,Rice - Aman-Fine,Rice,84.19
2025,Comilla,Rice - Boro - Hybrid - Coarse,Rice,52.5
2025,Comilla,Rice - Boro - Hybrid - Medium,Rice,62.29
2025,Comilla,Rice-Boro-Hybrid -Fine,Rice,83.21
2025,Comilla,Ruhi (Local) - medium (2.50-4.50 kg),Fish,370.0
2025,Comilla,Ruhi (Local) - small (1.50-2.00 kg),Fish,321.62
2025,Comilla,Silver Carp,Fish,275.0
2025,Comilla,Sonali Chicken,Chicken,244.0
2025,Comilla,Telapia/Nilotica,Fish,186.23
2025,Coxsbazar,Broiler chicken,Chicken,171.16
2025,Coxsbazar,Katla-Small (1.50-2.00 kg),Fish,331.86
2025,Coxsbazar,Local Hen - Big (above 900 gm),Chicken,564.79
2025,Coxsbazar,Pangash (big),Fish,171.46
2025,Coxsbazar,Rice - Boro - Hybrid - Coarse,Rice,52.5
2025,Coxsbazar,Rice - Boro - Hybrid - Medium,Rice,65.0
2025,Coxsbazar,Rice-Boro-Hybrid -Fine,Rice,82.5
2025,Coxsbazar,Ruhi (Local) - small (1.50-2.00 kg),Fish,333.89
2025,Coxsbazar,Sonali Chicken,Chicken,288.88
2025,Coxsbazar,Telapia/Nilotica,Fish,229.61
2025,Dhaka,Broiler chicken,Chicken,176.69
2025,Dhaka,Chinigura Rice,Rice,113.69
2025,Dhaka,Chitol-(small),Fish,550.0
2025,Dhaka,Grass carp,Fish,275.0
2025,Dhaka,Hilsha (500-900) gm,Fish,1503.41
2025,Dhaka,Kai,Fish,235.0
2025,Dhaka,Katla-Small (1.50-2.00 kg),Fish,324.85
2025,Dhaka,Pangash (big),Fish,194.26
2025,Dhaka,Rice - Aman - Coarse,Rice,54.41
2025,Dhaka,Rice - Aman - Medium,Rice,57.5
2025,Dhaka,Rice - Aman-Fine,Rice,85.17
2025,Dhaka,Rice-Boro-Medium,Rice,61.95
2025,Dhaka,Ruhi (Local) - medium (2.50-4.50 kg),Fish,405.66
2025,Dhaka,Ruhi (Local) - small (1.50-2.00 kg),Fish,350.0
2025,Dhaka,Shrimp Bagda,Fish,750.0
2025,Dhaka,Silver Carp,Fish,201.47
2025,Dhaka,Singhi,Fish,390.74
2025,Dhaka,Sonali Chicken,Chicken,290.96
2025,Dhaka,Telapia/Nilotica,Fish,207.57
2025,Dinajpur,Chinigura Rice,Rice,107.5
2025,Dinajpur,Farm-raised Hen,Chicken,157.61
2025,Dinajpur,Kataribhog,Rice,117.5
2025,Dinajpur,Katla-Small (1.50-2.00 kg),Fish,366.74
2025,Dinajpur,Local Hen - Big (above 900 gm),Chicken,481.37
2025,Dinajpur,Mregal-small,Fish,230.48
2025,Dinajpur,Pangash (big),Fish,155.3
2025,Dinajpur,Rice - Aman - Coarse,Rice,49.0
2025,Dinajpur,Rice - Aman - Medium,Rice,55.5
2025,Dinajpur,Rice - Boro - Hybrid - Coarse,Rice,51.28
2025,Dinajpur,Rice - Boro - Hybrid - Medium,Rice,62.74
2025,Dinajpur,Rice-Boro-Hybrid -Fine,Rice,70.9
2025,Dinajpur,Ruhi (Local) - small (1.50-2.00 kg),Fish,371.09
2025,Dinajpur,Silver Carp,Fish,187.11
2025,Dinajpur,Sonali Chicken,Chicken,266.44
2025,Dinajpur,Telapia/Nilotica,Fish,165.44
2025,Faridpur,Chinigura Rice,Rice,115.25
2025,Faridpur,Farm-raised Hen,Chicken,169.12
2025,Faridpur,Hilsha (500-900) gm,Fish,1333.06
2025,Faridpur,Local Hen - Medium (700-850 gm),Chicken,571.44
2025,Faridpur,Rice - Aman - Medium,Rice,58.07
2025,Faridpur,Rice - Aman-Super-Fine,Rice,89.0
2025,Faridpur,Rice - Amon - Hybrid - Coarse,Rice,52.73
2025,Faridpur,Rice - Boro - Hybrid - Coarse,Rice,56.74
2025,Faridpur,Rice - Boro - Hybrid - Medium,Rice,66.1
2025,Faridpur,Rice-Boro-Fine,Rice,86.46
2025,Faridpur,Ruhi (Local) - medium (2.50-4.50 kg),Fish,366.22
2025,Faridpur,Sonali Chicken,Chicken,273.23
2025,Feni,Broiler chicken,Chicken,157.84
2025,Feni,Katla-Small (1.50-2.00 kg),Fish,421.05
2025,Feni,Pangash (small),Fish,187.18
2025,Feni,Rice - Aman - Coarse,Rice,53.1
2025,Feni,Rice - Aman - Medium,Rice,61.75
2025,Feni,Rice - Aman-Fine,Rice,78.02
2025,Feni,Ruhi (Local) - small (1.50-2.00 kg),Fish,371.27
2025,Feni,Sonali Chicken,Chicken,291.45
2025,Gaibandha,Broiler chicken,Chicken,153.4
2025,Gaibandha,Hilsha (500-900) gm,Fish,1505.83
2025,Gaibandha,Katla-Small (1.50-2.00 kg),Fish,313.67
2025,Gaibandha,Local Hen - Medium (700-850 gm),Chicken,457.5
2025,Gaibandha,Local Hen - Small (500-650 gm),Chicken,461.13
2025,Gaibandha,Pangash (big),Fish,144.49
2025,Gaibandha,Rice - Aman - Coarse,Rice,46.07
2025,Gaibandha,Rice - Aman - Medium,Rice,55.43
2025,Gaibandha,Rice - Aman-Fine,Rice,75.16
2025,Gaibandha,Rice - Boro - Hybrid - Medium,Rice,56.77
2025,Gaibandha,Rice-Boro-Fine,Rice,72.35
2025,Gaibandha,Rice-Boro-Hybrid -Fine,Rice,71.79
2025,Gaibandha,Rice-Boro-Medium,Rice,53.8
2025,Gaibandha,Ricel-Boro-Mota,Rice,41.64
2025,Gaibandha,Ruhi (Local) - small (1.50-2.00 kg),Fish,325.4
2025,Gaibandha,Sonali Chicken,Chicken,267.22
2025,Gaibandha,Telapia/Nilotica,Fish,233.16
2025,Gazipur,Broiler chicken,Chicken,167.57
2025,Gazipur,Chinigura Rice,Rice,126.58
2025,Gazipur,Grass carp,Fish,299.57
2025,Gazipur,Kai,Fish,225.0
2025,Gazipur,Katla-Medium (2.50-4.50 kg),Fish,365.0
2025,Gazipur,Katla-Small (1.50-2.00 kg),Fish,310.0
2025,Gazipur,Local Hen - Medium (700-850 gm),Chicken,571.56
2025,Gazipur,Local Hen - Small (500-650 gm),Chicken,602.14
2025,Gazipur,Mregal-big,Fish,265.0
2025,Gazipur,Pangash (big),Fish,175.0
2025,Gazipur,Rice - Aman-Fine,Rice,84.27
2025,Gazipur,Rice - Amon - Hybrid - Medium,Rice,55.5
2025,Gazipur,Rice-Boro-Fine,Rice,82.05
2025,Gazipur,Rice-Boro-Medium,Rice,60.04
2025,Gazipur,Ricel-Boro-Mota,Rice,52.95
2025,Gazipur,Ruhi (Local) - medium (2.50-4.50 kg),Fish,410.0
2025,Gazipur,Ruhi (Local) - small (1.50-2.00 kg),Fish,345.0
2025,Gazipur,Shrimp Bagda,Fish,897.83
2025,Gazipur,Silver Carp,Fish,184.67
2025,Gazipur,Singhi,Fish,356.3
2025,Gazipur,Sonali Chicken,Chicken,290.07
2025,Gazipur,Telapia/Nilotica,Fish,190.0
2025,Gopalganj,Chinigura Rice,Rice,105.97
2025,Gopalganj,Farm-raised Hen,Chicken,152.41
2025,Gopalganj,Grass carp,Fish,291.42
2025,Gopalganj,Kalojira,Rice,105.97
2025,Gopalganj,Katla-Small (1.50-2.00 kg),Fish,353.76
2025,Gopalganj,Local Hen - Big (above 900 gm),Chicken,500.0
2025,Gopalganj,Mregal-big,Fish,327.19
2025,Gopalganj,Mregal-small,Fish,186.68
2025,Gopalganj,Pangash (big),Fish,211.13
2025,Gopalganj,Rice - Boro - Hybrid - Coarse,Rice,53.21
2025,Gopalganj,Rice - Boro - Hybrid - Medium,Rice,61.24
2025,Gopalganj,Rice-Boro-Hybrid -Fine,Rice,79.72
2025,Gopalganj,Ruhi (Local) - small (1.50-2.00 kg),Fish,416.9
2025,Gopalganj,Silver Carp,Fish,221.13
2025,Gopalganj,Sonali Chicken,Chicken,252.57
2025,Gopalganj,Telapia/Nilotica,Fish,212.59
2025,Habiganj,Broiler chicken,Chicken,167.17
2025,Habiganj,Chinigura Rice,Rice,116.22
2025,Habiganj,Grass carp,Fish,266.74
2025,Habiganj,Katla-Small (1.50-2.00 kg),Fish,350.0
2025,Habiganj,Local Hen - Big (above 900 gm),Chicken,581.3
2025,Habiganj,Pangash (small),Fish,185.0
2025,Habiganj,Rice - Aman - Coarse,Rice,52.26
2025,Habiganj,Rice - Aman - Medium,Rice,57.28
2025,Habiganj,Rice - Aman-Fine,Rice,78.22
2025,Habiganj,Rice-Boro-Fine,Rice,77.2
2025,Habiganj,Rice-Boro-Medium,Rice,58.04
2025,Habiganj,Ricel-Boro-Mota,Rice,50.35
2025,Habiganj,Ruhi (Local) - small (1.50-2.00 kg),Fish,300.0
2025,Habiganj,Silver Carp,Fish,216.85
2025,Habiganj,Telapia/Nilotica,Fish,190.0
2025,Jamalpur,Chinigura Rice,Rice,117.57
2025,Jamalpur,Farm-raised Hen,Chicken,156.14
2025,Jamalpur,Kalojira,Rice,110.71
2025,Jamalpur,Katla-Medium (2.50-4.50 kg),Fish,367.35
2025,Jamalpur,Local Hen - Medium (700-850 gm),Chicken,398.02
2025,Jamalpur,Pangash (big),Fish,159.01
2025,Jamalpur,Rice - Amon - Hybrid - Coarse,Rice,53.5
2025,Jamalpur,Rice - Amon - Hybrid - Medium,Rice,63.5
2025,Jamalpur,Rice - Amon - Hybrid - Narrow,Rice,71.0
2025,Jamalpur,Rice - Boro - Hybrid - Coarse,Rice,52.11
2025,Jamalpur,Rice - Boro - Hybrid - Medium,Rice,67.0
2025,Jamalpur,Rice-Boro-Fine,Rice,71.66
2025,Jamalpur,Rice-Boro-Medium,Rice,58.16
2025,Jamalpur,Ruhi (Local) - medium (2.50-4.50 kg),Fish,409.4
2025,Jamalpur,Ruhi (Local) - small (1.50-2.00 kg),Fish,338.4
2025,Jamalpur,Sonali Chicken,Chicken,274.22
2025,Jashore,Broiler chicken,Chicken,158.28
2025,Jashore,Grass carp,Fish,242.31
2025,Jashore,Hilsha (500-900) gm,Fish,1421.97
2025,Jashore,Katla (Local),Fish,295.3
2025,Jashore,Local Hen - Medium (700-850 gm),Chicken,495.45
2025,Jashore,Mregal-small,Fish,260.71
2025,Jashore,Pangash (big),Fish,164.1
2025,Jashore,Rice - Boro - Hybrid - Coarse,Rice,54.89
2025,Jashore,Rice - Boro - Hybrid - Medium,Rice,63.07
2025,Jashore,Rice-Boro-Hybrid -Fine,Rice,70.34
2025,Jashore,Ruhi (Imported) small (1.50-2.00 kg),Fish,297.84
2025,Jashore,Ruhi (Local) - medium (2.50-4.50 kg),Fish,423.06
2025,Jashore,Ruhi (Local) - small (1.50-2.00 kg),Fish,336.6
2025,Jashore,Silver Carp,Fish,165.0
2025,Jashore,Sonali Chicken,Chicken,275.9
2025,Jashore,Telapia/Nilotica,Fish,180.75
2025,Jhalakathi,Chinigura Rice,Rice,137.5
2025,Jhalakathi,Farm-raised Hen,Chicken,160.0
2025,Jhalakathi,Grass carp,Fish,190.0
2025,Jhalakathi,Hilsha (500-900) gm,Fish,1012.81
2025,Jhalakathi,Kai,Fish,220.0
2025,Jhalakathi,Katla-Medium (2.50-4.50 kg),Fish,406.28
2025,Jhalakathi,Katla-Small (1.50-2.00 kg),Fish,306.2
2025,Jhalakathi,Koral,Fish,634.67
2025,Jhalakathi,Mregal-small,Fish,190.0
2025,Jhalakathi,Pangash (big),Fish,160.69
2025,Jhalakathi,Pangash (small),Fish,180.84
2025,Jhalakathi,Poah,Fish,423.54
2025,Jhalakathi,Rice - Amon - Hybrid - Narrow,Rice,78.33
2025,Jhalakathi,Rice - Boro - Hybrid - Coarse,Rice,53.36
2025,Jhalakathi,Rice - Boro - Hybrid - Medium,Rice,62.56
2025,Jhalakathi,Rice-Boro-Hybrid -Fine,Rice,77.17
2025,Jhalakathi,Ruhi (Imported) medium (2.50-4.50 kg),Fish,425.0
2025,Jhalakathi,Ruhi (Local) - small (1.50-2.00 kg),Fish,325.0
2025,Jhalakathi,Shrimp Golda,Fish,1150.0
2025,Jhalakathi,Silver Carp,Fish,190.0
2025,Jhalakathi,Sonali Chicken,Chicken,271.48
2025,Jhalakathi,Telapia/Nilotica,Fish,178.47
2025,Jhenaidah,Broiler chicken,Chicken,161.99
2025,Jhenaidah,Grass carp,Fish,242.65
2025,Jhenaidah,Hilsha (500-900) gm,Fish,1151.38
2025,Jhenaidah,Kai,Fish,275.0
2025,Jhenaidah,Katla-Small (1.50-2.00 kg),Fish,314.71
2025,Jhenaidah,Mregal-small,Fish,219.49
2025,Jhenaidah,Pangash (big),Fish,150.59
2025,Jhenaidah,Pangash (small),Fish,200.0
2025,Jhenaidah,Rice - Aman - Coarse,Rice,53.65
2025,Jhenaidah,Rice - Amon - Hybrid - Medium,Rice,59.3
2025,Jhenaidah,Rice - Boro - Hybrid - Coarse,Rice,50.47
2025,Jhenaidah,Rice - Boro - Hybrid - Medium,Rice,63.56
2025,Jhenaidah,Rice-Boro-Hybrid -Fine,Rice,81.14
2025,Jhenaidah,Ruhi (Local) - small (1.50-2.00 kg),Fish,319.49
2025,Jhenaidah,Silver Carp,Fish,182.06
2025,Jhenaidah,Singhi,Fish,425.0
2025,Jhenaidah,Telapia/Nilotica,Fish,193.93
2025,Joypurhat,Farm-raised Hen,Chicken,152.43
2025,Joypurhat,Hilsha (500-900) gm,Fish,1534.81
2025,Joypurhat,Katla-Small (1.50-2.00 kg),Fish,318.7
2025,Joypurhat,Local Hen - Small (500-650 gm),Chicken,465.63
2025,Joypurhat,Mregal-small,Fish,214.33
2025,Joypurhat,Pangash (big),Fish,173.78
2025,Joypurhat,Rice - Aman - Coarse,Rice,56.15
2025,Joypurhat,Rice - Aman - Medium,Rice,63.91
2025,Joypurhat,Rice - Amon - Hybrid - Narrow,Rice,75.19
2025,Joypurhat,Rice - Boro - Hybrid - Coarse,Rice,54.3
2025,Joypurhat,Rice - Boro - Hybrid - Medium,Rice,62.14
2025,Joypurhat,Rice-Boro-Hybrid -Fine,Rice,71.58
2025,Joypurhat,Ruhi (Local) - small (1.50-2.00 kg),Fish,326.56
2025,Joypurhat,Silver Carp,Fish,193.3
2025,Joypurhat,Sonali Chicken,Chicken,268.55
2025,Joypurhat,Telapia/Nilotica,Fish,180.0
2025,Khagrachhari,Broiler chicken,Chicken,175.44
2025,Khagrachhari,Chinigura Rice,Rice,99.43
2025,Khagrachhari,Grass carp,Fish,238.42
2025,Khagrachhari,Hilsha (500-900) gm,Fish,1062.94
2025,Khagrachhari,Kalojira,Rice,143.33
2025,Khagrachhari,Kataribhog,Rice,85.22
2025,Khagrachhari,Katla-Small (1.50-2.00 kg),Fish,323.42
2025,Khagrachhari,Local Hen - Big (above 900 gm),Chicken,523.99
2025,Khagrachhari,Pangash (big),Fish,160.37
2025,Khagrachhari,Rice - Aman - Coarse,Rice,49.04
2025,Khagrachhari,Rice - Aman - Medium,Rice,61.05
2025,Khagrachhari,Rice - Aman - Pajam,Rice,58.04
2025,Khagrachhari,Rice - Aman-Fine,Rice,80.21
2025,Khagrachhari,Rice - Boro - Pajam,Rice,57.5
2025,Khagrachhari,Rice-Boro-Fine,Rice,83.5
2025,Khagrachhari,Rice-Boro-Medium,Rice,69.0
2025,Khagrachhari,Ricel-Boro-Mota,Rice,49.5
