Division,District,Upazila,Market Name,Commodity Name,Year,Retail Unit,Retail Price,Average Price,Whole Sale Unit,Wholesale price,Average Price
Chattagram,Comilla,Lalmai,Lalmai Bazar,Rice - Aush - Hybrid - Coarse,2026,Kilogram,50--52,51,Quintal,"4,516.67--4,800","4,658.33"
Chattagram,Comilla,Lalmai,Lalmai Bazar,Rice - Aman-Fine,2026,Kilogram,79.33--84,81.67,Quintal,"7,283.33--7,716.67","7,500"
Chattagram,Comilla,Lalmai,Lalmai Bazar,Rice - Aman - Medium,2026,Kilogram,58--61.33,59.67,Quintal,"5,433.33--5,566.67","5,500"
Chattagram,Comilla,Lalmai,Lalmai Bazar,Rice - Aman - Coarse,2026,Kilogram,50--52,51,Quintal,"4,500--4,800","4,650"
Chattagram,Comilla,Lalmai,Lalmai Bazar,Rice - Aush - Hybrid - Narrow,2026,Kilogram,75--82,78.5,Quintal,"7,000--7,700","7,350"
Chattagram,Comilla,Lalmai,Lalmai Bazar,Rice - Aush - Hybrid - Medium,2026,Kilogram,56.2--60,58.1,Quintal,"5,180--5,500","5,340"
Chattagram,Feni,Chhagalnaiya,Chagalnaiya Bazar,Rice - Aman-Fine,2026,Kilogram,77.19--80.88,79.03,Quintal,"7,327.78--7,630.56","7,479.17"
Chattagram,Feni,Chhagalnaiya,Chagalnaiya Bazar,Rice - Aman - Medium,2026,Kilogram,59.19--62.99,61.09,Quintal,"5,473.15--5,881.48","5,677.31"
Chattagram,Feni,Chhagalnaiya,Chagalnaiya Bazar,Rice - Aman - Coarse,2026,Kilogram,49.63--53.69,51.66,Quintal,"4,616.67--4,851.85","4,734.26"
Chattagram,Feni,Feni Sadar,Feni Sadar,Rice - Aman-Fine,2025,Kilogram,75.54--80.5,78.02,Quintal,"7,222.18--7,695.73","7,458.95"
Chattagram,Feni,Feni Sadar,Feni Sadar,Rice - Aman - Medium,2025,Kilogram,59.03--64.46,61.75,Quintal,"5,573.79--6,129.03","5,851.41"
Chattagram,Feni,Feni Sadar,Feni Sadar,Rice - Aman - Coarse,2025,Kilogram,51.48--54.73,53.1,Quintal,"4,872.58--5,084.68","4,978.63"
Chattagram,Feni,Feni Sadar,Feni Sadar,Rice - Aman-Fine,2026,Kilogram,74.72--79.54,77.13,Quintal,"7,063.76--7,558.05","7,310.91"
Chattagram,Feni,Feni Sadar,Feni Sadar,Rice - Aman - Medium,2026,Kilogram,57.77--61.24,59.5,Quintal,"5,383.89--5,808.05","5,595.97"
Chattagram,Feni,Feni Sadar,Feni Sadar,Rice - Aman - Coarse,2026,Kilogram,49.3--51.3,50.3,Quintal,"4,531.54--4,704.03","4,617.79"
Chattagram,Brahmanbaria,Brahmanbaria Sadar,Brahmanbaria Sadar Bazar,Rice - Aman - Medium,2025,Kilogram,58.52--61.14,59.83,Quintal,"5,593.43--5,812.41","5,702.92"
Chattagram,Brahmanbaria,Brahmanbaria Sadar,Brahmanbaria Sadar Bazar,Rice-Boro-Hybrid -Fine,2025,Kilogram,69.67--83.57,76.62,Quintal,"6,622.63--8,033.58","7,328.10"
Chattagram,Brahmanbaria,Brahmanbaria Sadar,Brahmanbaria Sadar Bazar,Rice - Boro - Hybrid - Medium,2025,Kilogram,56.11--66.43,61.27,Quintal,"5,250.36--6,183.94","5,717.15"
Chattagram,Brahmanbaria,Brahmanbaria Sadar,Brahmanbaria Sadar Bazar,Rice - Aman - Medium,2026,Kilogram,52.85--59.04,55.95,Quintal,"4,810.83--5,436.94","5,123.89"
Chattagram,Brahmanbaria,Brahmanbaria Sadar,Brahmanbaria Sadar Bazar,Rice-Boro-Hybrid -Fine,2026,Kilogram,70.99--85.91,78.45,Quintal,"6,615.92--7,977.71","7,296.82"
Chattagram,Brahmanbaria,Brahmanbaria Sadar,Brahmanbaria Sadar Bazar,Rice - Boro - Hybrid - Medium,2026,Kilogram,57.1--62.38,59.74,Quintal,"5,159.87--5,687.26","5,423.57"
Chattagram,Brahmanbaria,Brahmanbaria Sadar,Brahmanbaria Sadar Bazar,Ricel-Boro-Mota,2026,Kilogram,50--52.2,51.1,Quintal,"4,640--4,880","4,760"
Chattagram,Brahmanbaria,Brahmanbaria Sadar,Brahmanbaria Sadar Bazar,Rice - Aman - Coarse,2026,Kilogram,49.42--51.49,50.45,Quintal,"4,469.13--4,646.31","4,557.72"
Chattagram,Brahmanbaria,Brahmanbaria Sadar,Brahmanbaria Sadar Bazar,Rice - Amon - Hybrid - Narrow,2026,Kilogram,70--80,75,Quintal,"6,500--7,322.22","6,911.11"
Chattagram,Brahmanbaria,Bijoynagar,Amtoli Bazar,Rice - Aman - Medium,2026,Kilogram,53.55--60.75,57.15,Quintal,"4,850--5,536","5,193"
Chattagram,Brahmanbaria,Bijoynagar,Amtoli Bazar,Rice - Aman - Coarse,2026,Kilogram,48.07--52.08,50.08,Quintal,"4,371.5--4,575","4,473.25"
Chattagram,Brahmanbaria,Bijoynagar,Amtoli Bazar,Rice - Boro - Hybrid - Medium,2026,Kilogram,56.25--61.23,58.74,Quintal,"5,122--5,535","5,328.50"
