Division,District,Upazila,Market Name,Commodity Name,Year,Retail Unit,Retail Price,Average Price,Whole Sale Unit,Wholesale price,Average Price
Chattagram,Rangamati,Rangamati Sadar,Rangamati Sadar Bazar,Broiler chicken,2026,Kilogram,169.97--191.34,180.66,Quintal,"15,071.72--15,640","15,355.86"
Chattagram,Rangamati,Rangamati Sadar,Rangamati Sadar Bazar,Sonali Chicken,2026,Kilogram,333.86--345.59,339.72,Quintal,"31,234.48--32,510.34","31,872.41"
Chattagram,Rangamati,Kaptai,Kaptai Bazar,Broiler chicken,2026,Kilogram,176.01--179.3,177.66,Quintal,"16,628.09--16,805.62","16,716.85"
Chattagram,Rangamati,Kawkhali,Kaukhali Bazar,Broiler chicken,2026,Kilogram,175.08--184.79,179.94,Quintal,"16,300--17,241.67","16,770.83"
Chattagram,Noakhali,Noakhali Sadar,Noakhali Sadar Bazar,Broiler chicken,2025,Kilogram,152.14--159.96,156.05,Quintal,"13,935.04--14,400","14,167.52"
Chattagram,Noakhali,Noakhali Sadar,Noakhali Sadar Bazar,Sonali Chicken,2025,Kilogram,266.07--278.21,272.14,Quintal,"24,435.9--25,700.85","25,068.38"
Chattagram,Noakhali,Noakhali Sadar,Noakhali Sadar Bazar,Broiler chicken,2026,Kilogram,166.15--175.37,170.76,Quintal,"14,951.85--15,637.04","15,294.44"
Chattagram,Noakhali,Noakhali Sadar,Noakhali Sadar Bazar,Sonali Chicken,2026,Kilogram,287.89--298.96,293.43,Quintal,"26,688.89--27,737.04","27,212.96"
Chattagram,Noakhali,Begumganj,Begumganj Bazar,Broiler chicken,2026,Kilogram,161.95--167.93,164.94,Quintal,"14,621.95--15,359.76","14,990.85"
Chattagram,Noakhali,Begumganj,Begumganj Bazar,Sonali Chicken,2026,Kilogram,285.85--297.2,291.52,Quintal,"9,189.63--27,524.39","18,357.01"
Chattagram,Chandpur,Chandpur Sadar,Chandpur Sadaar,Broiler chicken,2025,Kilogram,153.2--158.2,155.7,Quintal,"14,538.97--14,871.32","14,705.15"
Chattagram,Chandpur,Chandpur Sadar,Chandpur Sadaar,Sonali Chicken,2025,Kilogram,265.37--273.27,269.32,Quintal,"25,091.18--25,533.82","25,312.50"
