Division,District,Upazila,Market Name,Commodity Name,Year,Retail Unit,Retail Price,Average Price,Whole Sale Unit,Wholesale price,Average Price
Chattagram,Feni,Feni Sadar,Feni Sadar,Ruhi (Local) - small (1.50-2.00 kg),2025,Kilogram,350--392.53,371.27,Quintal,"31,626.67--34,440","33,033.33"
Chattagram,Feni,Feni Sadar,Feni Sadar,Ruhi (Local) - small (1.50-2.00 kg),2026,Kilogram,352.42--377.18,364.8,Quintal,"30,322.15--33,718.12","32,020.13"
Chattagram,Feni,Feni Sadar,Feni Sadar,Katla-Small (1.50-2.00 kg),2026,Kilogram,360.47--400,380.23,Quintal,"31,449.66--36,000","33,724.83"
Chattagram,Feni,Feni Sadar,Feni Sadar,Pangash (small),2026,Kilogram,168.66--193.56,181.11,Quintal,"14,147.65--15,852.35","15,000"
Chattagram,Brahmanbaria,Brahmanbaria Sadar,Brahmanbaria Sadar Bazar,Ruhi (Local) - medium (2.50-4.50 kg),2025,Kilogram,365.95--397.08,381.51,Quintal,"33,664.23--36,372.26","35,018.25"
Chattagram,Brahmanbaria,Brahmanbaria Sadar,Brahmanbaria Sadar Bazar,Katla-Medium (2.50-4.50 kg),2025,Kilogram,388.18--431.31,409.74,Quintal,"35,448.91--38,978.1","37,213.50"
Chattagram,Brahmanbaria,Brahmanbaria Sadar,Brahmanbaria Sadar Bazar,Pangash (big),2025,Kilogram,161.75--176.82,169.29,Quintal,"14,681.02--15,945.26","15,313.14"
Chattagram,Brahmanbaria,Brahmanbaria Sadar,Brahmanbaria Sadar Bazar,Telapia/Nilotica,2025,Kilogram,186.82--209.6,198.21,Quintal,"17,958.39--19,628.47","18,793.43"
Chattagram,Brahmanbaria,Brahmanbaria Sadar,Brahmanbaria Sadar Bazar,Ruhi (Local) - medium (2.50-4.50 kg),2026,Kilogram,360.51--393.12,376.82,Quintal,"32,229.3--35,140.13","33,684.71"
Chattagram,Brahmanbaria,Brahmanbaria Sadar,Brahmanbaria Sadar Bazar,Katla-Medium (2.50-4.50 kg),2026,Kilogram,396.69--443.57,420.13,Quintal,"35,089.17--39,694.27","37,391.72"
Chattagram,Brahmanbaria,Brahmanbaria Sadar,Brahmanbaria Sadar Bazar,Pangash (big),2026,Kilogram,169.62--186.69,178.15,Quintal,"15,073.25--16,531.85","15,802.55"
Chattagram,Brahmanbaria,Brahmanbaria Sadar,Brahmanbaria Sadar Bazar,Telapia/Nilotica,2026,Kilogram,184.08--211.59,197.83,Quintal,"16,168.79--18,305.73","17,237.26"
Chattagram,Brahmanbaria,Bijoynagar,Amtoli Bazar,Ruhi (Imported) medium (2.50-4.50 kg),2026,Kilogram,362.4--390.3,376.35,Quintal,"33,700--35,830","34,765"
Chattagram,Brahmanbaria,Bijoynagar,Amtoli Bazar,Katla-Medium (2.50-4.50 kg),2026,Kilogram,392.5--444.1,418.3,Quintal,"34,170--38,610","36,390"
Chattagram,Brahmanbaria,Bijoynagar,Amtoli Bazar,Pangash (big),2026,Kilogram,176.3--188.8,182.55,Quintal,"15,485--17,151","16,318"
Chattagram,Brahmanbaria,Bijoynagar,Amtoli Bazar,Telapia/Nilotica,2026,Kilogram,182.05--197.1,189.57,Quintal,"16,022--16,892","16,457"
Chattagram,Rangamati,Rangamati Sadar,Rangamati Sadar Bazar,Ruhi (Local) - small (1.50-2.00 kg),2025,Kilogram,332.86--356.17,344.51,Quintal,"107,180.45--32,864.66","70,022.56"
Chattagram,Rangamati,Rangamati Sadar,Rangamati Sadar Bazar,Ruhi (Imported) medium (2.50-4.50 kg),2025,Kilogram,397.22--463.31,430.26,Quintal,"35,924.81--41,676.69","38,800.75"
Chattagram,Rangamati,Rangamati Sadar,Rangamati Sadar Bazar,Katla-Medium (2.50-4.50 kg),2025,Kilogram,432.71--470.75,451.73,Quintal,"40,157.89--43,593.98","41,875.94"
Chattagram,Rangamati,Rangamati Sadar,Rangamati Sadar Bazar,Katla-Small (1.50-2.00 kg),2025,Kilogram,342.63--369.47,356.05,Quintal,"109,744.36--33,496.24","71,620.30"
Chattagram,Rangamati,Rangamati Sadar,Rangamati Sadar Bazar,Hilsha (500-900) gm,2025,Kilogram,"1,475--1,950","1,712.50",Quintal,"124,000--175,000","149,500"
Chattagram,Rangamati,Rangamati Sadar,Rangamati Sadar Bazar,Silver Carp,2025,Kilogram,258.35--276.71,267.53,Quintal,"24,000--26,000","25,000"
