date,location,commodity,price_per_kg
2026-09,Dhaka,Ata (packet),59.50
2026-09,Dhaka,Egg Farm-Red,47.50
2026-09,Dhaka,Sugar (Local),133.50
2026-09,Dhaka,Iodized Salt (Packed),36.00
2026-09,Dhaka,Mung,125.00
2026-09,Dhaka,Gram-Whole,87.50
2026-09,Dhaka,Soybean,164.00
2026-09,Dhaka,Onion-local,62.00
2026-09,Dhaka,Garlic-local,179.50
2026-09,Dhaka,Garlic-Imported,198.00
2026-09,Dhaka,Green Chili,227.50
2026-09,Dhaka,Ginger-local,164.00
2026-09,Dhaka,Ginger-Imported,176.50
